date,rolling_beta
2004-06-18,1.1431818486603345
2004-06-21,1.1413454961728284
2004-06-22,1.1689177976341452
2004-06-23,1.1693154952842264
2004-06-24,1.1849027954539613
2004-06-25,1.186426029122815
2004-06-28,1.2010876273773796
2004-06-29,1.214547867468158
2004-06-30,1.2648157777992721
2004-07-01,1.2874661164629084
2004-07-02,1.2883735685685422
2004-07-06,1.2984637502502843
2004-07-07,1.2975426533308083
2004-07-08,1.312028401335099
2004-07-09,1.2941085631841878
2004-07-12,1.2939901227488495
2004-07-13,1.2923929853745968
2004-07-14,1.289289245128972
2004-07-15,1.289962718369366
2004-07-16,1.2545722261587553
2004-07-19,1.2523999703161854
2004-07-20,1.2252597179550608
2004-07-21,1.214330245929601
2004-07-22,1.2193158024018975
2004-07-23,1.1983065040154808
2004-07-26,1.1950470147230332
2004-07-27,1.1565116708096932
2004-07-28,1.197504819495164
2004-07-29,1.19401072060222
2004-07-30,1.206626924873024
2004-08-02,1.207045280105867
2004-08-03,1.1895160878814182
2004-08-04,1.1590870609742714
2004-08-05,1.1164784315637988
2004-08-06,1.084904343132007
2004-08-09,1.0962932307525435
2004-08-10,1.0616222132828808
2004-08-11,1.0589451002801753
2004-08-12,1.0883390695622464
2004-08-13,1.1108697074328755
2004-08-16,1.0770845087304644
2004-08-17,1.08282861920023
2004-08-18,1.0585053457016345
2004-08-19,1.0552764127246368
2004-08-20,1.022349194141175
2004-08-23,1.0238559383105137
2004-08-24,1.011673111011049
2004-08-25,1.0245962703653642
2004-08-26,1.0251050220773907
2004-08-27,1.0238110919639816
2004-08-30,1.0087419740995165
2004-08-31,1.0167149759627694
2004-09-01,0.9962710157496901
2004-09-02,0.98038260911235
2004-09-03,0.9719973525703908
2004-09-07,0.9671386467968869
2004-09-08,0.9411925394578122
2004-09-09,0.8798069968732981
2004-09-10,0.8834747002219119
2004-09-13,0.8861215719712653
2004-09-14,0.8867633751578794
2004-09-15,0.8936781835292491
2004-09-16,0.9096967214574105
2004-09-17,0.9033949012945434
2004-09-20,0.8993579409344723
2004-09-21,0.9044508725236101
2004-09-22,0.8360436862074878
2004-09-23,0.8313115143295737
2004-09-24,0.8070328568717523
2004-09-27,0.7677462389614974
2004-09-28,0.7437516527490778
2004-09-29,0.7078358589470252
2004-09-30,0.704389993828234
2004-10-01,0.6814717465691972
2004-10-04,0.6803587266590397
2004-10-05,0.6807294887515616
2004-10-06,0.6808415179288708
2004-10-07,0.6920359440639703
2004-10-08,0.6587961386453256
2004-10-11,0.6791582535617908
2004-10-12,0.6779910068741222
2004-10-13,0.6933279214472413
2004-10-14,0.6466007616936271
2004-10-15,0.6390803518483719
2004-10-18,0.6404195338437343
2004-10-19,0.6332559648115742
2004-10-20,0.6509397316374913
2004-10-21,0.651876688425089
2004-10-22,0.6445855979571908
2004-10-25,0.6335131831342062
2004-10-26,0.6553077107851654
2004-10-27,0.6167460575056452
2004-10-28,0.6143765235588896
2004-10-29,0.5859630724103438
2004-11-01,0.5772028622566926
2004-11-02,0.5774074325269477
2004-11-03,0.5941071259495063
2004-11-04,0.6142323129911319
2004-11-05,0.6011292602499125
2004-11-08,0.6104469782630484
2004-11-09,0.6162037126634609
2004-11-10,0.6094285862343404
2004-11-11,0.6174847227191199
2004-11-12,0.6559559850243547
2004-11-15,0.6561201300189319
2004-11-16,0.651943176466974
2004-11-17,0.6663948312789202
2004-11-18,0.6486448607821494
2004-11-19,0.7150390953587324
2004-11-22,0.7270504694340292
2004-11-23,0.7308209174944649
2004-11-24,0.7201078555681972
2004-11-26,0.7270808858765558
2004-11-29,0.7651126668185833
2004-11-30,0.7780207540292925
2004-12-01,0.8273460963401313
2004-12-02,0.8324546886003126
2004-12-03,0.8308357044686162
2004-12-06,0.8268214469551333
2004-12-07,0.8578316050559147
2004-12-08,0.8792451570383277
2004-12-09,0.8629880392523783
2004-12-10,0.8520309217235826
2004-12-13,0.8635392105635629
2004-12-14,0.8806101014131784
2004-12-15,0.8819888431205736
2004-12-16,0.965835985539076
2004-12-17,0.9602928469850183
2004-12-20,0.957578697862351
2004-12-21,0.9896941959365091
2004-12-22,1.0050348421221806
2004-12-23,1.0089512072440991
2004-12-27,1.015831791938095
2004-12-28,1.010677491268081
2004-12-29,1.010212759731924
2004-12-30,0.9963797980808108
2004-12-31,0.9763936569943229
2005-01-03,0.9922643272323393
2005-01-04,1.1473232947086818
2005-01-05,1.1542721392831863
2005-01-06,1.1656362400580904
2005-01-07,1.1898687484194526
2005-01-10,1.2327404135943867
2005-01-11,1.2150875139491193
2005-01-12,1.2169155321009193
2005-01-13,1.1946313711536372
2005-01-14,1.197287698132591
2005-01-18,1.2047146146457766
2005-01-19,1.2062125230469867
2005-01-20,1.195148870937186
2005-01-21,1.2059784295388656
2005-01-24,1.2625715219261637
2005-01-25,1.2554001810021462
2005-01-26,1.265594167646832
2005-01-27,1.2659471075868343
2005-01-28,1.2329160361384062
2005-01-31,1.3212851823398797
2005-02-01,1.3663271113721616
2005-02-02,1.3723463669323146
2005-02-03,1.367152331161704
2005-02-04,1.3599939563298271
2005-02-07,1.3597607994090104
2005-02-08,1.393859017322556
2005-02-09,1.3396328697713997
2005-02-10,1.316747301400272
2005-02-11,1.310682443600538
2005-02-14,1.2933224588866616
2005-02-15,1.2828812293333594
2005-02-16,1.257846485298838
2005-02-17,1.2655800693812542
2005-02-18,1.269802925751471
2005-02-22,1.1786410395199376
2005-02-23,1.1725459421694997
2005-02-24,1.1076277573388942
2005-02-25,1.0903069148005056
2005-02-28,1.0751344705035335
2005-03-01,1.065404679313145
2005-03-02,1.0662158173130114
2005-03-03,1.065165181565649
2005-03-04,1.075620939266694
2005-03-07,1.0488533342633835
2005-03-08,1.0627741631746517
2005-03-09,1.1007676885964082
2005-03-10,1.0939038193342832
2005-03-11,1.0903254291006896
2005-03-14,1.0719749978661277
2005-03-15,1.0656619083985663
2005-03-16,1.0263548400486557
2005-03-17,1.0250774874313948
2005-03-18,1.0221635457753666
2005-03-21,1.0440771502140513
2005-03-22,1.079769721787302
2005-03-23,1.074473516611006
2005-03-24,1.1151104588140754
2005-03-28,1.1161935435190655
2005-03-29,1.104376235278738
2005-03-30,1.1363583144376246
2005-03-31,1.1226090574032461
2005-04-01,1.037559639007235
2005-04-04,1.017365241149124
2005-04-05,1.0072211582787918
2005-04-06,1.0073322963541096
2005-04-07,0.9871235082063672
2005-04-08,0.9792865036771456
2005-04-11,0.9750293681820676
2005-04-12,1.023976826496117
2005-04-13,1.013032128694504
2005-04-14,1.0271798806787769
2005-04-15,0.9397058002563058
2005-04-18,0.9472031819380842
2005-04-19,0.9915988240492388
2005-04-20,0.9789089688995192
2005-04-21,0.885271871336844
2005-04-22,0.8504620218594139
2005-04-25,0.8569518034004754
2005-04-26,0.8709240294406285
2005-04-27,0.8060934003134718
2005-04-28,0.7906192140849645
2005-04-29,0.7965824377486214
2005-05-02,0.7804751565262998
2005-05-03,0.7642318099884833
2005-05-04,0.7689602347941609
2005-05-05,0.7646760220333298
2005-05-06,0.767151424187291
2005-05-09,0.7820166878891832
2005-05-10,0.7565574106681464
2005-05-11,0.759804657481854
2005-05-12,0.7752541770187975
2005-05-13,0.7756839409802321
2005-05-16,0.7523098195426341
2005-05-17,0.7537122240834232
