ticker,date,close,shares,exposure,sharetrades,tradevalue,commission,interest,short_borrow_cost,margin_call
SVXY,2021-06-07,26.625000000000014,138915,3698611.875000002,-57837,-1539910.125000001,202.42950000000013,0,-0,FALSE
Cash,2021-06-08,0,0,-19962271.15597609,0,-0,0,-0,0,FALSE
VTI,2021-06-08,204.46300000000002,56122,11474872.486000001,0,0,0,0,-0,FALSE
TLT,2021-06-08,117.77100000000003,110412,13003331.652000003,0,0,0,0,-0,FALSE
GLD,2021-06-08,177.3200000000001,69054,12244655.280000007,0,0,0,0,-0,FALSE
VIXY,2021-06-08,543.7970000000005,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-08,26.440000000000012,138915,3672912.6000000015,0,0,0,0,-0,FALSE
Cash,2021-06-09,0,0,-19962271.15597609,0,-0,0,-0,0,FALSE
VTI,2021-06-09,203.88600000000005,56122,11442490.092000002,0,0,0,0,-0,FALSE
TLT,2021-06-09,118.81100000000005,110412,13118160.132000005,0,0,0,0,-0,FALSE
GLD,2021-06-09,176.9800000000001,69054,12221176.920000007,0,0,0,0,-0,FALSE
VIXY,2021-06-09,551.9970000000008,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-09,26.290000000000013,138915,3652075.350000002,0,0,0,0,-0,FALSE
Cash,2021-06-10,0,0,-19962271.15597609,0,-0,0,-0,0,FALSE
VTI,2021-06-10,204.788,56122,11493112.136,0,0,0,0,-0,FALSE
TLT,2021-06-10,119.52300000000001,110412,13196773.476000002,0,0,0,0,-0,FALSE
GLD,2021-06-10,177.7400000000001,69054,12273657.960000006,0,0,0,0,-0,FALSE
VIXY,2021-06-10,518.5970000000004,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-10,27.045000000000016,138915,3756956.175000002,0,0,0,0,-0,FALSE
Cash,2021-06-11,0,0,-19962271.15597609,0,-0,0,-0,0,FALSE
VTI,2021-06-11,205.39200000000002,56122,11527009.824000001,0,0,0,0,-0,FALSE
TLT,2021-06-11,119.33000000000003,110412,13175463.960000003,0,0,0,0,-0,FALSE
GLD,2021-06-11,175.7400000000001,69054,12135549.960000006,0,0,0,0,-0,FALSE
VIXY,2021-06-11,504.5970000000004,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-11,27.415000000000017,138915,3808354.7250000024,0,0,0,0,-0,FALSE
Cash,2021-06-14,0,0,-19962271.15597609,0,-0,0,-0,0,FALSE
VTI,2021-06-14,205.708,56122,11544744.376,0,0,0,0,-0,FALSE
TLT,2021-06-14,118.41600000000004,110412,13074547.392000005,0,0,0,0,-0,FALSE
GLD,2021-06-14,174.71000000000012,69054,12064424.34000001,0,0,0,0,-0,FALSE
VIXY,2021-06-14,508.3970000000006,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-14,27.285000000000014,138915,3790295.775000002,0,0,0,0,-0,FALSE
Cash,2021-06-15,0,0,-19962271.15597609,0,-0,0,-0,0,FALSE
VTI,2021-06-15,205.16899999999998,56122,11514494.617999999,0,0,0,0,-0,FALSE
TLT,2021-06-15,118.27400000000003,110412,13058868.888000004,0,0,0,0,-0,FALSE
GLD,2021-06-15,174.05000000000013,69054,12018848.700000009,0,0,0,0,-0,FALSE
VIXY,2021-06-15,519.8970000000008,0,0,0,0,0,0,-0,FALSE
SVXY,2021-06-15,26.81000000000001,138915,3724311.1500000013,0,0,0,0,-0,FALSE
Cash,2021-06-16,0,0,-19962271.15597609,0,-0,0,-0,0,FALSE
